Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,58580.000000,58910.000000,57506.000000,57901.000000,57901.000000,4077700
2016-09-01,57901.000000,58417.000000,57638.000000,58236.000000,58236.000000,3687600
2016-09-02,58241.000000,59655.000000,58241.000000,59616.000000,59616.000000,3771500
2016-09-05,59616.000000,59986.000000,59402.000000,59566.000000,59566.000000,1824900
2016-09-06,59566.000000,60129.000000,59182.000000,60129.000000,60129.000000,3150500
2016-09-08,60129.000000,60310.000000,59743.000000,60232.000000,60232.000000,3843900
2016-09-09,60220.000000,60220.000000,57961.000000,58000.000000,58000.000000,3992900
2016-09-12,57998.000000,58595.000000,57511.000000,58586.000000,58586.000000,3529200
2016-09-13,58580.000000,58580.000000,56459.000000,56821.000000,56821.000000,4377800
2016-09-14,56812.000000,57342.000000,56694.000000,57059.000000,57059.000000,3329100
2016-09-15,57068.000000,58127.000000,57068.000000,57909.000000,57909.000000,2812000
2016-09-16,57909.000000,57909.000000,56794.000000,57080.000000,57080.000000,3710700
2016-09-19,57083.000000,58025.000000,57083.000000,57350.000000,57350.000000,2691100
2016-09-20,57356.000000,57902.000000,57356.000000,57736.000000,57736.000000,3001000
2016-09-21,57736.000000,58575.000000,57326.000000,58394.000000,58394.000000,3889700
2016-09-22,58408.000000,59462.000000,58408.000000,58994.000000,58994.000000,3365300
2016-09-23,58992.000000,59131.000000,58409.000000,58697.000000,58697.000000,2809900
2016-09-26,58697.000000,58697.000000,57904.000000,58054.000000,58054.000000,2108800
2016-09-27,58066.000000,58490.000000,57411.000000,58382.000000,58382.000000,2953400
2016-09-28,58383.000000,59415.000000,58353.000000,59356.000000,59356.000000,3233400
2016-09-29,59346.000000,59621.000000,58292.000000,58351.000000,58351.000000,3200300
2016-09-30,58350.000000,58900.000000,58271.000000,58367.000000,58367.000000,2858200
2016-10-03,58370.000000,59549.000000,58367.000000,59461.000000,59461.000000,2774100
2016-10-04,59461.000000,59580.000000,58892.000000,59339.000000,59339.000000,3894600
2016-10-05,59340.000000,60477.000000,59340.000000,60254.000000,60254.000000,3378900
2016-10-06,60254.000000,60724.000000,60070.000000,60644.000000,60644.000000,3507200
2016-10-07,60645.000000,61275.000000,60479.000000,61109.000000,61109.000000,4243800
2016-10-10,61130.000000,61756.000000,61130.000000,61668.000000,61668.000000,2936900
2016-10-11,61668.000000,61668.000000,60885.000000,61022.000000,61022.000000,3568000
2016-10-13,61020.000000,61329.000000,60243.000000,61119.000000,61119.000000,4952700
2016-10-14,61120.000000,62039.000000,61120.000000,61767.000000,61767.000000,3691200
2016-10-17,61768.000000,62696.000000,61719.000000,62696.000000,62696.000000,3340700
2016-10-18,62701.000000,63937.000000,62701.000000,63782.000000,63782.000000,4390300
2016-10-19,63784.000000,64089.000000,63309.000000,63506.000000,63506.000000,3614000
2016-10-20,63495.000000,63927.000000,62729.000000,63838.000000,63838.000000,3421500
2016-10-21,63838.000000,64372.000000,63379.000000,64108.000000,64108.000000,3662900
2016-10-24,64141.000000,64691.000000,63914.000000,64060.000000,64060.000000,3663900
2016-10-25,64059.000000,64266.000000,63248.000000,63866.000000,63866.000000,3918100
2016-10-26,63860.000000,63924.000000,63084.000000,63826.000000,63826.000000,4299200
2016-10-27,63827.000000,64609.000000,63827.000000,64250.000000,64250.000000,3587500
2016-10-28,64251.000000,64728.000000,63778.000000,64308.000000,64308.000000,3788500
2016-10-31,64312.000000,65054.000000,64312.000000,64925.000000,64925.000000,3816900
2016-11-01,64922.000000,65291.000000,63019.000000,63326.000000,63326.000000,4505600
2016-11-03,63325.000000,63524.000000,61750.000000,61750.000000,61750.000000,4124000
2016-11-04,61749.000000,62699.000000,61491.000000,61598.000000,61598.000000,3972500
2016-11-07,61601.000000,64193.000000,61601.000000,64052.000000,64052.000000,3325900
2016-11-08,64052.000000,64767.000000,63381.000000,64158.000000,64158.000000,3265100
2016-11-09,64157.000000,64358.000000,61794.000000,63258.000000,63258.000000,5630100
2016-11-10,63261.000000,63903.000000,60553.000000,61201.000000,61201.000000,7623700
2016-11-11,61199.000000,61626.000000,58921.000000,59184.000000,59184.000000,7572800
2016-11-14,59183.000000,59961.000000,58322.000000,59657.000000,59657.000000,5408500
2016-11-16,59658.000000,60915.000000,59364.000000,60759.000000,60759.000000,4582900
2016-11-17,60763.000000,61493.000000,59746.000000,59770.000000,59770.000000,3531300
2016-11-18,59770.000000,60193.000000,59327.000000,59962.000000,59962.000000,3462400
2016-11-21,59963.000000,61070.000000,59963.000000,61070.000000,61070.000000,3520100
2016-11-22,61072.000000,62550.000000,61072.000000,61954.000000,61954.000000,3987100
2016-11-23,61956.000000,62046.000000,61234.000000,61986.000000,61986.000000,3489700
2016-11-24,61999.000000,62105.000000,61392.000000,61396.000000,61396.000000,1647100
2016-11-25,61394.000000,61559.000000,60573.000000,61559.000000,61559.000000,2653700
2016-11-28,61559.000000,62934.000000,61240.000000,62855.000000,62855.000000,2752000
2016-11-29,62859.000000,62859.000000,60980.000000,60987.000000,60987.000000,3423900
2016-11-30,60994.000000,62590.000000,60994.000000,61906.000000,61906.000000,4587300
2016-12-01,61906.000000,61911.000000,59058.000000,59507.000000,59507.000000,5352800
2016-12-02,59499.000000,60379.000000,58092.000000,60316.000000,60316.000000,4344200
2016-12-05,60322.000000,60720.000000,59635.000000,59832.000000,59832.000000,2861200
2016-12-06,59828.000000,61235.000000,59396.000000,61088.000000,61088.000000,3606500
2016-12-07,61111.000000,61918.000000,61062.000000,61414.000000,61414.000000,3841700
2016-12-08,61430.000000,61936.000000,60499.000000,60677.000000,60677.000000,2936600
2016-12-09,60688.000000,61129.000000,60316.000000,60501.000000,60501.000000,3339800
2016-12-12,60517.000000,60517.000000,59035.000000,59179.000000,59179.000000,3244400
2016-12-13,59178.000000,59946.000000,58758.000000,59281.000000,59281.000000,3589100
2016-12-14,59280.000000,59338.000000,58212.000000,58212.000000,58212.000000,3857000
2016-12-15,58214.000000,58635.000000,57575.000000,58396.000000,58396.000000,3569400
2016-12-16,58398.000000,59312.000000,58365.000000,58389.000000,58389.000000,3683900
2016-12-19,58390.000000,58600.000000,57109.000000,57111.000000,57111.000000,3396500
2016-12-20,57116.000000,57918.000000,57038.000000,57583.000000,57583.000000,2673400
2016-12-21,57583.000000,58049.000000,57221.000000,57647.000000,57647.000000,2461900
